sorszam,n1
1019,Hámory
1020,Hándler
1021,Hányi
1022,Háringáts
1023,Háry
1024,Hátas
1025,Házas
1026,Héjj
1027,Hódy
1028,Hóiba
1029,Höfle
1030,Hölle
1031,Hörcher
1032,Hörk
1033,Hübner
1034,Hügel
1035,Hültl
1036,Hümpfner
1037,Hőfle
1038,Hőnig
1039,Hős
1040,Igali
1041,Igaly
1042,Ihász
1043,Ilkey
1044,Illyefalvi
1045,Illés
1046,Illési
1047,Ilsemann
1048,Imhof
1049,Incze
1050,Ipoly
1051,Irsai
1052,Irányi
1053,Ispán
1054,Isskruljev
1055,István
1056,Iszer
1057,Isépy
1058,Ivnoll
1059,Iváncsó
1060,Ivánfi
1061,Ivánka
1062,Ivánszky
1063,Izsó
1064,Jablonszky
1065,Jaczó
1066,Jagasich
1067,Jagicza
1068,Jakab
1069,Jakoby
1070,Jakopovits
1071,Jakubecz
1072,Jaminsky
1073,Jaminszky
1074,Jancsovits
1075,Jancsó
1076,Janda
1077,Janek
1078,Janics
1079,Janicsek
1080,Jankovich
1081,Jankovits
1082,Jankó
1083,Janny
1084,Janovics
1085,Janovits
1086,Jantsovits
1087,Jaros
1088,Jarosch
1089,Jarács
1090,Jauernik
1091,Jehring
1092,Jelenek
1093,Jellenek
1094,Jeney
1095,Jeny
1096,Jordán
1097,Josvay
1098,Joó
1099,Joós
1100,Juhász
1101,Junger
1102,Jurenák
1103,Juventius
1104,Jáger
1105,Jákobi
1106,Jákubecz
1107,Jámbor
1108,Járdek
1109,Járitz
1110,Jármay
1111,Járó
1112,Jászai
1113,Jászffy
1114,Jászfy
1115,Jécsy
1116,Jékly
1117,Jósa
1118,Jósvay
1119,Józan
1120,Józsa
1121,K
1122,K.
1123,Kabarcz
1124,Kabdebó
1125,Kacskovics
1126,Kacsur
1127,Kacsóh
1128,Kacziány
1129,Kada
1130,Kadenszki
1131,Kaiser
1132,Kajlinger
1133,Kallaus
1134,Kallós
1135,Kalmár
1136,Kamocsay
1137,Kamrás
1138,Kapcza
1139,Kapeller
1140,Kapy
1141,Karaffa
1142,Karalyos
1143,Karaszek
1144,Karczag
1145,Kardon
1146,Kardos
1147,Kares
1148,Karg
1149,Karkas
1150,Karlovitz
1151,Karner
1152,Karsay
1153,Karányi
1154,Karés
1155,Kasenczky
1156,Kaszper
1157,Kaszás
1158,Katinszky
1159,Katona
1160,Kattausch
1161,Katzer
1162,Kaufmann
1163,Kauser
1164,Kavanda
1165,Kazacsay
1166,Kazimir
1167,Kazinczy
1168,Kazár
1169,Kaál
1170,Kecskeméthy
1171,Kecskeméti
1172,Kecskés
1173,Keil
1174,Kelecsényi
1175,Kelemen
1176,Keleti
1177,Kellel*
1178,Keller
1179,Kellner
1180,Kelndorfer
1181,Kelner
1182,Kempelen
1183,Kemény
1184,Kende
1185,Kenesei
1186,Kerecsényi
1187,Keresztes
1188,Keresztury
1189,Keresztúri
1190,Kernács
1191,Kerstner
1192,Kertész
1193,Kerék
1194,Kerékgyártó
1195,Kerényi
1196,Keserű
1197,Keszler
1198,Kiliti
1199,Kilius
1200,Kimig
1201,Kinczly
1202,Kintzly
1203,Kirch
1204,Kirchknopf
1205,Kirchner
1206,Kiripolszky
1207,Kirner
1208,Kirtzan
1209,Király
1210,Kis
1211,Kis-Erős
1212,Kis-Szölgyémi
1213,Kiss
1214,Kisujfalusi
1215,Kiszela
1216,Kiticsán
1217,Kizdián
1218,Kiébert
1219,Klapper
1220,Klaudy
1221,Klausz
1222,Kleeberg
1223,Klein
1224,Kleisz
1225,Klemens
1226,Klement
1227,Klemm
1228,Klenim
1229,Klenovits
1230,Kliburszky
1231,Kliczpera
1232,Klim
1233,Klimkó
1234,Klunzinger
1235,Klánik
1236,Klázer
1237,Kneisz
1238,Knoll
1239,Knotz
1240,Kobelrausch
1241,Kobler
1242,Kobor
1243,Koburger
1244,Koch
1245,Kocsis
1246,Kocsy
1247,Koffler
1248,Kohlert
1249,Kohlért
1250,Kohuth
1251,Kokesch
1252,Kolbányi
1253,Koller
1254,Kollmann
1255,Kollár
1256,Kolmann
1257,Kolompár
1258,Kolonics
1259,Kolonits
1260,Kolozsvári
1261,Kolpaszky
1262,Kolár
1263,Komjáti
1264,Komlódy
1265,Komlósi
1266,Komlóssy
1267,Komorovszky
1268,Komoróczy
1269,Komzsik
1270,Komáromi
1271,Komáromy
1272,Konecsni
1273,Kontsek
1274,Konyusik
1275,Kopcsányi
1276,Kopeczky
1277,Kopp
1278,Korb
1279,Koren
1280,Koritsánszky
1281,Korláth
1282,Kormonyák
1283,Kormoss
1284,Kornai
1285,Kornitzky
1286,Kornya
1287,Korona
1288,Koronthály
1289,Kortsák
1290,Korányi
1291,Korén
1292,Korény
1293,Koródy
1294,Koszorú
1295,Kosztolányi
1296,Kovaltsik
1297,Kovách
1298,Kovács
1299,Kovácsy
1300,Kováts
1301,Kozma
1302,Koznia
1303,Kozáky
1304,Kozáry
1305,Koós
1306,Kracker
1307,Krajcsics
1308,Kranitz
1309,Krazl
1310,Kreizler
1311,Kren
1312,Krepelka
1313,Krepuska
1314,Kreszula
1315,Kricsfalvi
1316,Kricsfalvy
1317,Kriegler
1318,Krisztinkovich
1319,Krompholcz
1320,Kroner
1321,Kronits
1322,Krupcsák
1323,Král
1324,Králik
1325,Králl
1326,Kránitz
1327,Krátky
1328,Kráuthl
1329,Krázl
1330,Krémer
1331,Krémmer
1332,Krénusz
1333,Krónits
1334,Kubinyi
1335,Kubinyák
1336,Kuchinka
1337,Kucsera
1338,Kuczkay
1339,Kugler
1340,Kuhar
1341,Kujarik
1342,Kulcsár
1343,Kuli
1344,Kulifay
1345,Kulik
1346,Kullmann
1347,Kun
1348,Kuna
1349,Kunszt
1350,Kurfürst
1351,Kurmann
1352,Kurtz
1353,Kurucz
1354,Kurzbacher
1355,Kustár
1356,Kusztos
1357,Kutassy
1358,Kutsera
1359,Kuzder
1360,Kuzmik
1361,Kuzsinszky
1362,Kvitskó
1363,Kácz
1364,Kádas
1365,Kájlinger
1366,Kákics
1367,Káldor
1368,Kálhok
1369,Kállai
1370,Kállay
1371,Kálmánczhelyi
1372,Kály
1373,Kánai
1374,Kántor
1375,Kárg
1376,Kárgli
1377,Kármán
1378,Károlyi
1379,Kárpáti
1380,Kégl
1381,Képiró
1382,Kéri
1383,Kési
1384,Késmárki
1385,Kíss
1386,Kóbor
1387,Kókai
1388,Kónya
1389,Kórody
1390,Kóródy
1391,Kóta
1392,Köberling
1393,Ködmencsi
1394,Kölber
1395,Köllő
1396,Kölüs
1397,Kömives
1398,Köncs
1399,König
1400,Könnye
1401,Könye
1402,Könyves
1403,Könyöki
1404,Körmendi
1405,Környei
1406,Körtvélyesi
1407,Körös
1408,Körösi
1409,Kötél
1410,Kövesi
1411,Kürschner
1412,Kürtös
1413,Kőhalmi
1414,Kőmives
1415,Kőműves
1416,Kőrösy
1417,Kőszegi
1418,Kővári
1419,LKovács
1420,Lacsny
1421,Lacuska
1422,Laczkovich
1423,Laczkó
1424,Laczó
1425,Ladányi
1426,Lahocsinszky
1427,Lajosfalvi
1428,Lakatos
1429,Lakits
1430,Lakner
1431,Lakos
1432,Laky
1433,Lamotte
1434,Lampert
1435,Lampl
1436,Langer
1437,Lantossy
1438,Lantosy
1439,Lappert
1440,Laskovics
1441,Laskovits
1442,Lassányi
1443,Laszip
1444,Latky
1445,Lau
1446,Lauber
1447,Lauer
1448,Laumann
1449,Lautner
1450,Lavotha
1451,Lavotta
1452,Layer
1453,Laza
1454,Lazmann
1455,Lebanovits
1456,Lebánovits
1457,Lechner
1458,Lederer
1459,Ledényi
1460,Leidenfrost
1461,Leipold
1462,Leitkam
1463,Lendvai
1464,Lendvay
1465,Lendér
1466,Lengyel
1467,Lenkei
1468,Lenkey
1469,Leszik
1470,Lexa
1471,Leár
1472,Liber
1473,Lichtmann
1474,Licskó
1475,Liebold
1476,Liftner
1477,Linczenpolcz
1478,Lindauer
1479,Lindenbach
1480,Lindenmayer
1481,Lindl
1482,Linhart
1483,Linzbauer
1484,Lipkay
1485,Lipovecz
1486,Lipovetz
1487,Liptay
1488,Lipthay
1489,Lipták
1490,Lipóczy
1491,Lipót
1492,Liskovetz
1493,Liskowetz
1494,Lissauer
1495,Liszkai
1496,Liszkay
1497,Lisznay
1498,Litauszky
1499,Lobmajer
1500,Lobmayer
1501,Lobniayer
1502,Lohr
1503,Lombay
1504,Losczák
1505,Lovas
1506,Lovasy
1507,Lovász
1508,Luboviensky
1509,Lubovienszky
1510,Ludmányi
1511,Ludvigh
1512,Ludvik
1513,Ludwig
1514,Ludwigh
1515,Lufcsik
1516,Luizer
1517,Luka
1518,Lukács
1519,Lukácsi
1520,Lukácsy
1521,Lung
1522,Luzsa
1523,Lyachovics
1524,Ládi
1525,Láng
1526,Lángos
1527,Lártg
1528,László
1529,Lázié
1530,Lázár
1531,Léczian
1532,Léczián
1533,Léman
1534,Lénárd
1535,Lénárt
1536,Léránt
1537,Lóránt
1538,Lökös
1539,Lörincz
1540,Löv
1541,Löwenstein
1542,Löwenstin
1543,Löwinger
1544,Lőbl
1545,Lőrincz
1546,Lőwenstein
1547,L’Auné
1548,Maass
1549,Machan
1550,Machay
1551,Machán
1552,Maczeovits
1553,Madary
1554,Madarász
1555,Madzsar
1556,Magdics
1557,Magyar
1558,Magyarevics
1559,Magyarevits
1560,Majer
1561,Major
1562,Majoros
1563,Majorossy
1564,Majthényi
1565,Makay
1566,Makó
1567,Malaky
1568,Malmos
1569,Manchen
1570,Mandel
1571,Mandák
1572,Manger
1573,Manzéger
1574,Marcsiny
1575,Marczinka
1576,Marczinkievicz
1577,Marenits
1578,Marics
1579,Marits
1580,Markovich
1581,Markovits
1582,Markusovszky
1583,Markó
1584,Marközy
1585,Marosfy
1586,Marosi
1587,Marossy
1588,Marschalko
1589,Marschner
1590,Marsovszky
1591,Martin
1592,Martinkovics
1593,Martinkó
1594,Martiny
1595,Marton
1596,Martos
1597,Masa
1598,Maschek
1599,Masek
1600,Matauschek
1601,Mathievics
1602,Mathievits
1603,Matlag
1604,Matolay
1605,Mattyasovszky
1606,Matusek
1607,Matuska
1608,Matzinger
1609,Maurer
1610,Max
1611,Maydánszky
1612,Mayer
1613,Maár
1614,Mechtler
1615,Medgyessy
1616,Medl
1617,Medve
1618,Medveczky
1619,Megele
1620,Megyery
1621,Meixner
1622,Melega
1623,Melegh
1624,Melha
1625,Melkó
1626,Melly
1627,Mellye
1628,Mellyes
1629,Menczlik
1630,Mergenthaler
1631,Mergenthaller
1632,Merkefka
1633,Merschitz
1634,Messik
1635,Meszlényi
1636,Metzger
1637,Meubauer
1638,Mezei
1639,Mezey
1640,Michál
1641,Mihalik
1642,Mihálovits
1643,Mihály
1644,Mihályfi
1645,Mihályfy
1646,Mihályik
1647,Mihálykovics
1648,Mikes
1649,Miklós
1650,Mikolay
1651,Miksits
1652,Mikóczi
1653,Milassin
1654,Mild
1655,Milei
1656,Miller
1657,Milus
1658,Minich
1659,Minárik
1660,Mirsch
1661,Miskay
1662,Miske
1663,Miskovics
1664,Miskó
1665,Modossy
1666,Modrovich
1667,Mohán
1668,Mohó
1669,Mojsisovics
1670,Moldován
1671,Molnár
1672,Monó
1673,Morbitzer
1674,Morelli
1675,Morengl
1676,Morent
1677,Morlin
1678,Mosch
1679,Mosdóssy
1680,Mosdósy
1681,Mossonyi
1682,Mottl
1683,Moór
1684,Muchmayer
1685,Muk
1686,Mukk
1687,Murányi
1688,Muskovics
1689,Muskovits
1690,Musza
1691,Mutzer
1692,Muzs
1693,Muzsik
1694,Muzsikó
1695,Mácsady
1696,Mándy
1697,Mánk
1698,Márffy
1699,Márher
1700,Márkly
1701,Márkus
1702,Márton
1703,Mártonffy
1704,Mártzig
1705,Máthé
1706,Mátlié
1707,Máté
1708,Mátéfy
1709,Mátékovics
1710,Méro
1711,Mérő
1712,Mészáros
1713,Móry
1714,Mósch
1715,Mózer
1716,Mühl
1717,Mühlrad
