sorszam,n1,FNF
683,Fájli,0
684,Fáy,0
685,Fél,0
686,Fóris,0
687,Födi,0
688,Földes,0
689,Földessy,0
690,Földváry,0
691,Földy,0
692,Fölkel,0
693,Förstner,2
694,Füle,0
695,Fülepp,2
696,Fülöp,5
697,Füredi,4
698,Füredy,0
699,Füry,0
700,Füstér,0
701,Füstös,7
702,Füzy,0
703,Füzér,0
704,Fűzy,0
705,Gacsáry,0
706,Gadányi,0
707,Gajzágó,0
708,Gajári,0
709,Gajáry,0
710,Gajárí,0
711,Galambos,1
712,Gallina,0
713,Gallovich,1
714,Galló,0
715,Gammel,0
716,Gang,4
717,Garai,2
718,Garam,0
719,Garami,0
720,Garancsy,0
721,Garay,0
722,Gasparics,1
723,Gattein,0
724,Gavalya,0
725,Gavora,0
726,Gayer,9
727,Gazsi,0
728,Gaál,1
729,Gebhardt,3
730,Geböck,0
731,Gebök,0
732,Gebők,0
733,Gecső,0
734,Gedei,0
735,Geiger,118
736,Gelencsér,1
737,Gelléri,0
738,Gellért,0
739,Genersich,0
740,Gere,0
741,Gerencsér,0
742,Gerenday,0
743,Gerendi,0
744,Gergely,12
745,Gergelyi,0
746,Gerger,0
747,Gergye,1
748,Gerle,0
749,Gerlóczy,0
750,Gerrithon,0
751,Gerritsen,0
752,Geschader,1
753,Gescháder,1
754,Ginzery,0
755,Girch,1
756,Glasz,9
757,Glatz,4
758,Glosz,13
759,Glósz,13
760,Goczán,0
761,Goda,8
762,Godán,0
763,Gogolák,0
764,Goldberger,355
765,Goldner,74
766,Goldzieher,0
767,Gombkötő,1
768,Gonda,0
769,Gorecky,0
770,Goreczky,0
771,Goszleth,0
772,Gosztonyi,0
773,Gottlieb,177
774,Grabovszky,0
775,Grabowski,3
776,Grabowszki,0
777,Graf,17
778,Grecsák,0
779,Grecsó,0
780,Greisinger,4
781,Greizinger,0
782,Grigoli,0
783,Grigár,0
784,Grill,8
785,Grimm,2
786,Grolig,0
787,Grollg,0
788,Grosser,3
789,Grosz,632
790,Groszmann,153
791,Gruber,51
792,Gráf,17
793,Gróf,2
794,Grósz,632
795,Grünwald,205
796,Guckler,0
797,Gugán,1
798,Gulyás,8
799,Gutfreund,25
800,Guvelinger,0
801,Gyalog,0
802,Gyalokai,0
803,Gyapay,0
804,Gyenes,1
805,Gyenge,0
806,Gyomoréi,0
807,Gyulai,5
808,Gyurinovich,0
809,Gyurkovich,0
810,Gyurkovits,0
811,Gyurmann,0
812,Gyurmán,0
813,Gyurótsik,0
814,Gyökér,0
815,Gyömörey,0
816,Györffy,0
817,Gyürke,0
818,Győrffy,0
819,Győrfi,4
820,Győri,1
821,Győrök,0
822,Gábor,8
823,Gábriel,11
824,Gácsi,0
825,Gácsy,0
826,Gájer,3
827,Gál,3
828,Gárdonyi,0
829,Gárdos,0
830,Gártner,22
831,Gáspár,2
832,Gáspárdy,0
833,Göbel,4
834,Gödöllei,0
835,Gödöny,0
836,Gömöry,0
837,Gönczi,0
838,Göndöcs,0
839,Gúth,8
840,Günther,0
841,Gőbel,4
842,Haas,61
843,Haberern,0
844,Haberhauer,10
845,Hackermüller,0
846,Hadzsy,0
847,Haffner,4
848,Hagymássy,0
849,Hagyó,0
850,Hahnel,0
851,Haidekker,0
852,Hainiss,0
853,Haintz,3
854,Hajda,1
855,Hajdu,2
856,Hajdú,2
857,Hajnal,5
858,Hajnos,0
859,Hajnóczky,0
860,Hajós,0
861,Halabúk,0
862,Halbauer,3
863,Hallamásek,0
864,Hallamássek,0
865,Hallóssy,0
866,Halm,6
867,Halmai,0
868,Halmos,0
869,Halácsy,0
870,Halász,21
871,Hamar,2
872,Hammer,13
873,Hamvassy,0
874,Hamvasy,0
875,Hamza,3
876,Handler,50
877,Hantos,0
878,Hanusz,2
879,Hanuszek,2
880,Hanvai,0
881,Hanzély,2
882,Hanák,3
883,Haraszti,0
884,Harcz,0
885,Haris,1
886,Harmath,0
887,Harmos,0
888,Harrai,0
889,Harray,0
890,Harrer,0
891,Harsányi,0
892,Hart,7
893,Hartai,0
894,Harth,0
895,Hartmann,61
896,Harámi,0
897,Hasenfeld,10
898,Haslinger,4
899,Haszmann,0
900,Hatolkai,0
901,Hatolkay,0
902,Hatos,0
903,Hauschild,3
904,Hauszner,1
905,Havas,4
906,Havass,0
907,Hazafy,0
908,Hebelt,0
909,Hebentanz,0
910,Hefkó,0
911,Hegedűs,4
912,Hegyi,0
913,Hegyváry,0
914,Heidler,0
915,Heinzman,0
916,Heisler,51
917,Helfenberger,0
918,Hellmer,0
919,Hellmich,0
920,Helmschmidt,0
921,Heltai,0
922,Helvey,0
923,Hembach,1
924,Henszelman,0
925,Henszelmann,0
926,Herczeg,2
927,Herczel,1
928,Herein,0
929,Herkner,0
930,Hermann,75
931,Hermán,28
932,Herok,0
933,Herold,2
934,Herpka,0
935,Hertelendi,0
936,Hertelendy,0
937,Hertendi,0
938,Hertendy,0
939,Hertli,0
940,Hessky,0
941,Hetessy,0
942,Hettyey,0
943,Hetényi,0
944,Heuffel,1
945,Heuman,2
946,Heumann,7
947,Heves,0
948,Hevesi,3
949,Heyl,0
950,Hidassy,0
951,Hieronymi,0
952,Hiesz,4
953,Hilbert,2
954,Hiller,5
955,Hincz,0
956,Hinterschek,4
957,Hirsch,262
958,Hirschler,127
959,Hittner,0
960,Hlatky,0
961,Hlavkay,0
962,Hochbaum,2
963,Hochhalt,0
964,Hochholczer,0
965,Hock,14
966,Hockl,0
967,Hofbauer,28
968,Hoffer,38
969,Hoffmann,139
970,Hofhauser,1
971,Hofher,0
972,Hofmann,5
973,Hofner,0
974,Holba,0
975,Holl,0
976,Hollentoner,0
977,Holló,0
978,Hollós,0
979,Holtzspach,0
980,Holub,8
981,Homoky,0
982,Homonnay,0
983,Honffy,0
984,Honig,42
985,Honyek,4
986,Hornok,3
987,Hornyok,0
988,Hornyák,63
989,Horony,0
990,Horpáczky,0
991,Horti,0
992,Hortobágyi,0
993,Horvatics,0
994,Horvát,1
995,Horváth,50
996,Horváthy,0
997,Horánszky,0
998,Hosszú,9
999,Houska,2
1000,Hoós,0
1001,Hruby,0
1002,Hubatsek,0
1003,Hubay,0
1004,Huber,39
1005,Hubert,19
1006,Huck,9
1007,Hudomel,0
1008,Hugyecz,26
1009,Hujber,0
1010,Hulényi,0
1011,Humayer,0
1012,Hunyadi,0
1013,Hunyady,0
1014,Huschek,0
1015,Huschek-Blaha,0
1016,Huszár,0
1017,Hyross,0
1018,Hálák,0
1019,Hámory,0
1020,Hándler,50
1021,Hányi,0
1022,Háringáts,0
1023,Háry,0
1024,Hátas,0
1025,Házas,0
1026,Héjj,0
1027,Hódy,0
1028,Hóiba,0
1029,Höfle,0
1030,Hölle,0
1031,Hörcher,0
1032,Hörk,0
1033,Hübner,2
1034,Hügel,1
1035,Hültl,0
1036,Hümpfner,0
1037,Hőfle,0
1038,Hőnig,11
1039,Hős,0
1040,Igali,9
1041,Igaly,0
1042,Ihász,0
1043,Ilkey,0
1044,Illyefalvi,0
1045,Illés,7
1046,Illési,0
1047,Ilsemann,0
1048,Imhof,6
1049,Incze,0
1050,Ipoly,0
1051,Irsai,0
1052,Irányi,0
1053,Ispán,0
1054,Isskruljev,0
1055,István,1
1056,Iszer,0
1057,Isépy,0
1058,Ivnoll,0
1059,Iváncsó,0
1060,Ivánfi,0
1061,Ivánka,0
1062,Ivánszky,0
1063,Izsó,0
1064,Jablonszky,1
1065,Jaczó,1
1066,Jagasich,0
1067,Jagicza,6
1068,Jakab,17
1069,Jakoby,0
1070,Jakopovits,0
1071,Jakubecz,11
1072,Jaminsky,0
1073,Jaminszky,0
1074,Jancsovits,0
1075,Jancsó,7
1076,Janda,5
1077,Janek,0
1078,Janics,7
1079,Janicsek,2
1080,Jankovich,2
1081,Jankovits,5
1082,Jankó,2
1083,Janny,0
1084,Janovics,20
1085,Janovits,2
1086,Jantsovits,0
1087,Jaros,1
1088,Jarosch,2
1089,Jarács,0
1090,Jauernik,0
1091,Jehring,0
1092,Jelenek,2
1093,Jellenek,0
1094,Jeney,0
1095,Jeny,0
1096,Jordán,3
1097,Josvay,0
1098,Joó,3
1099,Joós,0
1100,Juhász,9
1101,Junger,3
1102,Jurenák,0
1103,Juventius,0
1104,Jáger,26
1105,Jákobi,9
1106,Jákubecz,11
