yb19091228,Grüner,8
yb19091927,Zinger,1
735,Geiger,86
1731,Neu,6
yb19121609,Herczfeld,5
1181,Kelner,52
2188,Schreiber,33
1020,Hándler,7
876,Handler,7
yb1909880,Grünvald,27
1105,Jákobi,4
842,Haas,28
2704,Vimmer,5
alm190778,Fleisch,0
yb1909377,Grünn,1
277,Brucker,7
898,Haslinger,7
yb19091728,Bruckner,26
yb1912809,Gutman,13
yb19091195,Zwicker,0
555,Ehrlich,18
yb1912542,Hoffner,6
2076,Rotter,22
512,Drach,3
946,Heumann,0
968,Hoffer,31
2797,Winkler,49
656,Fraenkel,0
897,Hasenfeld,0
676,Fuchs,94
641,Fischer,198
1933,Preisz,38
2031,Reisz,75
1005,Hubert,17
2151,Schaffer,51
2201,Scháffer,51
yb1909474,Horovicz,1
575,Engler,25
616,Fehér,595
256,Boschán,0
1101,Junger,4
153,Benedek,70
2786,Wiesner,5
alm190749,Engelmann,9
yb19091179,Beck,68
2883,Ábrahám,220
657,Frank,99
1732,Neubauer,12
1179,Kellner,69
yb1909691,Kurcz,10
yb19123348,Strumpf,0
830,Gártner,35
299,Burger,32
2793,Wimmer,44
yb19091931,Schnitzer,6
350,Böhm,48
355,Bőhm,48
2172,Schindler,25
895,Hartmann,29
2798,Winter,16
1871,Pfeiffer,24
967,Hofbauer,27
yb19122226,Held,3
1797,Ország,23
yb19091929,Hauser,26
1738,Ney,1
2244,Sindler,5
2768,Wein,3
871,Hamar,37
yb1912706,Wachtel,1
793,Gróf,48
785,Grimm,8
2788,Wild,9
2364,Szegő,18
2180,Schmidl,0
yb19123063,Szommer,17
yb1909954,Zwirn,2
618,Fejes,103
yb19121837,Csora,2
alm1904723,Milhoffer,0
1882,Pinsker,0
yb1909121,Schlegel,8
2812,Wolf,67
yb19122622,Kirschner,14
1197,Keszler,25
yb19122856,Röszler,3
yb19121614,Bak,112
969,Hoffmann,110
1038,Hőnig,10
930,Hermann,50
alm190795,Winterstein,1
931,Hermán,48
1656,Miller,7
1436,Langer,20
125,Bauer,223
